ID,Nome,Nickname,Descricao,Criacao_Canal,Categoria,Viewers,Linguagem,Data_stream,Hora_stream
92038375,caedrel,Caedrel,he cancelled it,27/05/2015,League of Legends,37588,Inglês,15/05/2025,07:14:39
124425501,lck,LCK,"For more information, schedules and stats head to the LCK's social media. Follow our Twitch for live notifications and find daily broadcast updates on LCK social media.",16/05/2016,League of Legends,18330,Inglês,15/05/2025,07:30:25
129339704,betboom_ru,betboom_ru,"🔥 Присоединяйтесь к нам, чтобы посмотреть FISSURE Universe Ep.5 Play-In! Мероприятие пройдет с 12.05 по 18.05! Жаркие бои за призовой фонд в $250 000 с участием Virtus.pro , MOUZ, OG и других! Не упустите возможность стать свидетелем этого эпического события! Присоединяйтесь к нам!",12/07/2016,Dota 2,16860,Russo,15/05/2025,07:33:14
920125847,lck_carry,LCK_Carry,鍇睿國際於 2023 年夏季起，與 Riot Games 進行跨區域合作，取得《英雄聯盟》（League of Legends）韓國冠軍聯賽（League of Legends Champions Korea，簡稱 LCK）中文轉播權。從 2023 年 6 月 7 日 LCK 夏季賽開幕戰起，進行全程轉播賽事。,08/06/2023,League of Legends,9687,Chinês,15/05/2025,07:34:51
102631269,yaritaiji,たいじ_たいちゃんねる,たいじです！はじめまして！ようつべ→https://t.co/MlYSe4f4By?amp=1オプレ→https://www.openrec.tv/user/Yaritaiji,20/09/2015,Just Chatting,8534,Japonês,15/05/2025,10:39:35
39154501,des0ut,des0ut,Умные всегда побеждают сильных! УМОМ!,08/01/2013,PUBG: BATTLEGROUNDS,7156,Russo,15/05/2025,07:30:33
175831187,ironmouse,ironmouse,Im your cringe demon queen from VShojo,29/09/2017,Dark Souls: Remastered,7132,Inglês,15/05/2025,01:19:36
117168642,chowh1,chowh1,L'animateur qui tue ton joueur pro préféré :D,27/02/2016,Call of Duty: Warzone,6920,Francês,15/05/2025,07:59:44
48677263,lazvell,Lazvell, konnichiwa!,07/09/2013,VALORANT,6893,Japonês,15/05/2025,06:05:14
205775893,haitani0904,ハイタニ,REJECT格闘ゲーム部門所属ストリーマーのハイタニです。,16/03/2018,Street Fighter 6,6490,Japonês,15/05/2025,08:11:00
467031116,enzzai,enzzai,№ 5083481094,14/10/2019,Just Chatting,6090,Russo,15/05/2025,07:12:27
622498423,otplol_,otplol_,Le meilleur de League of Legends commenté par le crew OTP.,18/12/2020,League of Legends,6040,Francês,15/05/2025,07:43:41
45098797,cdawgva,CDawgVA,I'm that guy,23/06/2013,Dark Souls: Remastered,6005,Inglês,15/05/2025,01:55:43
